"","Sserial","WtFactor","RSex","RAgeCat","eq_inc_quintiles","RClassGp","HEdQual3","Married","ChildHh","skipmeal","paptype","SMNews","PartyId2","Politics","SocTrust","Spend1","Dole","TaxSpend","MuchPov","Poverty1","Poverty2","NatFrEst","incdiffs","welfare2","leftrigh","libauth"
"1",310001,0.911959441900782,2,6,-1,1,2,1,2,-1,0,8,8,4,1,3,3,3,8,2,1,5,-1,2.5,2.4,3.5
"2",310002,0.443962578928714,2,3,5,1,2,2,2,1,0,1,8,3,-1,-1,2,3,2,2,2,30,2,3.125,2,3.83333333333333
"3",310003,1.21827411046767,2,4,-1,1,3,1,1,-1,0,2,4,4,2,3,2,2,2,2,2,50,-1,3.125,2.2,4.16666666666667
"4",310004,1.58399694170687,1,2,4,1,2,4,2,-1,0,2,2,3,1,3,3,3,2,2,1,50,-1,2.25,3.2,2.16666666666667
"5",310005,0.474309101936413,1,6,-1,5,4,4,2,1,0,8,3,5,-1,-1,2,3,1,2,1,50,4,3.375,1.6,4.66666666666667
"6",310006,1.13631253367843,1,4,1,3,8,1,1,-1,0,3,2,3,2,9,2,2,1,1,1,10,-1,2.875,1.8,3.66666666666667
"7",310007,0.825977822431059,1,2,5,1,1,4,2,1,0,1,2,1,-1,-1,1,3,2,1,1,1,2,2,2.4,2.33333333333333
"8",310008,0.960651817173109,2,4,-1,1,3,1,1,1,2,4,8,1,-1,-1,8,3,2,1,1,998,1,2.75,2,2.66666666666667
"9",310009,1.37918793363223,1,4,-1,1,1,1,1,1,4,8,3,1,-1,-1,2,3,2,1,1,5,1,1.25,1.8,2.33333333333333
"10",310010,1.37556993848394,1,1,-1,5,2,4,2,-1,0,8,8,5,2,3,2,2,8,8,8,50,-1,9,2.8,4
"11",310011,0.886646393300762,1,7,-1,3,4,1,2,1,1,8,1,1,-1,-1,3,3,1,2,2,60,3,2.625,3.4,3.83333333333333
"12",310012,1.75874565000542,2,1,2,5,2,4,2,2,0,7,5,4,-1,-1,1,3,2,2,1,25,2,1.75,2.2,2.5
"13",310013,1.01362734294215,2,7,-1,5,4,4,1,-1,1,8,2,3,1,8,3,2,1,1,1,30,-1,9,9,9
"14",310014,1.23082961298577,1,3,5,1,1,1,2,1,0,8,5,3,-1,-1,1,3,2,1,1,3,3,2.25,2.8,2.33333333333333
"15",310015,0.729703353495682,2,3,2,3,2,1,1,1,0,3,3,3,-1,-1,2,3,2,2,2,25,2,2.875,3,3.33333333333333
"16",310016,1.31171601393026,2,7,4,2,2,1,2,1,1,8,8,2,-1,-1,3,2,2,1,1,10,2,3,3,3.66666666666667
"17",310017,0.473463813224028,2,7,-1,1,3,3,2,1,1,1,2,3,-1,-1,2,3,1,8,1,80,1,4.125,1.8,4.5
"18",310018,0.649061456784448,2,3,5,1,2,4,1,1,0,8,4,2,-1,-1,2,3,1,2,2,5,2,2.75,1.8,2.66666666666667
"19",310019,1.13472956036643,2,6,1,5,2,3,1,1,0,8,3,3,-1,-1,1,2,2,2,1,50,1,2.5,2.8,4.5
"20",310020,0.827562217279301,2,3,1,1,3,1,1,-1,0,2,5,3,1,4,2,2,2,2,2,50,-1,3.375,4.4,4
"21",310021,0.751334437816618,1,7,-1,5,4,1,2,-1,0,8,1,1,-1,-1,8,2,2,2,1,40,-1,-1,-1,-1
"22",310022,0.493283922181269,2,7,1,5,4,2,2,-1,0,5,2,3,2,3,1,3,2,2,2,45,-1,2.625,2.6,3.33333333333333
"23",310023,1.2699554820051,2,2,4,1,1,1,2,1,0,4,2,1,-1,-1,3,3,2,9,1,2,1,2.25,1,2.16666666666667
"24",310024,0.970377041037582,1,6,3,5,2,1,2,1,0,8,8,4,-1,-1,2,3,1,2,2,82,2,3.125,3.6,3.33333333333333
"25",310025,0.473479697346361,1,6,1,5,4,4,2,5,1,8,1,3,-1,-1,1,3,2,1,1,60,1,1.42857142857143,1,5
"26",310026,0.937639246850694,2,4,-1,3,1,1,2,-1,2,8,8,3,1,3,3,3,8,2,1,40,-1,3,3.2,3.66666666666667
"27",310027,1.06462668611404,2,5,3,5,4,2,1,8,0,6,2,4,-1,-1,1,3,2,2,2,10,2,2.75,2.2,3.5
"28",310028,0.46245627096229,2,3,2,1,1,2,1,1,0,1,2,3,-1,-1,1,2,2,2,2,10,2,2.5,2,3.66666666666667
"29",310029,1.11920774435715,2,7,4,1,4,1,2,1,0,8,4,4,-1,-1,1,3,2,2,2,40,3,2.5,2.2,3.5
"30",310030,0.799973412771064,1,7,2,1,3,1,2,-1,0,8,8,1,2,3,2,2,1,2,1,15,-1,3.5,3.2,4.66666666666667
"31",310031,0.44674332013467,2,4,1,3,3,4,2,4,0,8,5,4,-1,-1,1,1,2,2,1,30,1,2.5,2.4,4
"32",310032,0.87946639917085,2,4,3,2,1,1,1,1,0,8,2,2,-1,-1,8,3,2,1,1,30,1,1.75,2.8,2.5
